,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
1434,2013-12-20,2.1855223746960557,6.389040339947617,0.5495588069211411,12.092411120648537,14,1,1.9075888793514633
1449,2014-01-04,2.205322665831636,8.20028352093453,2.3785203847526004,13.901031214850663,0,-1,2.3785203847526004
1463,2014-01-18,2.2238029375581774,9.032747100404123,3.5043001888360803,14.500141455796841,2,-1,1.5043001888360803
1485,2014-02-09,2.2528433645570285,7.7299124061370454,2.4579007753790987,12.80216650546795,0,-1,2.4579007753790987
1491,2014-02-15,2.2607634810112605,9.134393895085655,3.725278912235043,14.33082341173365,23,1,8.66917658826635
1496,2014-02-20,2.2673635780564543,5.225449734752962,-0.5888782947361255,10.721584561935526,17,1,6.278415438064474
1499,2014-02-23,2.27132363628357,7.3802197579390265,1.4239410896958982,12.975292559595278,13,1,0.024707440404721837
1512,2014-03-08,2.288483861821657,8.359575833188838,2.708890864532908,13.730000757209634,14,1,0.2699992427903659
1544,2014-04-09,2.3307243604907066,5.691037474157278,0.012324091122930893,10.955971671552645,13,1,2.0440283284473555
1546,2014-04-11,2.333364391657522,7.154906110600246,1.5641155520007082,12.975663115568373,19,1,6.0243368844316265
1552,2014-04-17,2.341284485157969,5.439518639921343,-0.4239693068887339,10.801612457418326,13,1,2.198387542581674
1553,2014-04-18,2.342604500741376,7.568701866366574,1.9596144728595906,13.072808872626336,16,1,2.927191127373664
1562,2014-04-27,2.3544846409920464,8.255093992603683,2.70035720972009,13.998098556195943,19,1,5.001901443804057
1568,2014-05-03,2.362404734492493,10.188403628433905,4.463107944069661,15.635135055826145,16,1,0.3648649441738545
1584,2014-05-19,2.3835249838270176,8.043541031554216,2.450899831611034,13.663109999727103,15,1,1.3368900002728967
1600,2014-06-04,2.404645233161543,5.837473211098126,0.33231840875192364,11.35742302341838,0,-1,0.33231840875192364
1603,2014-06-07,2.4086052799117663,9.784903322008764,3.8549096060099695,15.656990276055144,3,-1,0.8549096060099695
1610,2014-06-14,2.4178453889956204,9.745104463969447,4.149607230943536,15.385627336577961,4,-1,0.1496072309435359
1622,2014-06-26,2.4336855773415746,7.66072746274221,2.161073438387969,13.109486364215273,15,1,1.8905136357847265
1660,2014-08-03,2.4838462206233602,9.187334856010441,3.9489607058898253,14.38355434089547,15,1,0.6164456591045298
1665,2014-08-08,2.4904463052657,8.162287684277091,2.120098324966741,13.872495477217242,2,-1,0.12009832496674111
1676,2014-08-19,2.5049664914788488,6.02862539463566,0.18577046657768462,11.436466687545884,0,-1,0.18577046657768462
1681,2014-08-24,2.511566576121189,8.695554237070434,3.371571070158093,13.823352596049176,2,-1,1.371571070158093
1694,2014-09-06,2.5287267961912736,10.70519814055472,5.258785396678225,16.00251454621221,5,-1,0.258785396678225
1695,2014-09-07,2.5300468131197413,9.007827293660489,3.3625978114858732,14.654350906900259,22,1,7.345649093099741
1720,2014-10-02,2.5630472363314425,5.597860213475966,0.06277080603371045,11.023371769985802,14,1,2.9766282300141977
1722,2014-10-04,2.565687270188379,9.776127874870973,4.107606093248727,15.515138645616679,4,-1,0.10760609324872661
1736,2014-10-18,2.584167507186931,9.748892248412918,3.7670972341962563,15.745630541771696,3,-1,0.7670972341962563
1770,2014-11-21,2.6418018093262963,7.5547673983775026,1.7691995056304717,12.93940441145672,15,1,2.060595588543279
1792,2014-12-13,2.6790945930635326,9.940832041310177,4.2983873090607245,15.740806424084692,3,-1,1.2983873090607245
1799,2014-12-20,2.6909604787981074,10.66131365368233,4.667907284021431,16.334152589637807,4,-1,0.6679072840214308
1800,2014-12-21,2.6926556053316184,8.83881607079104,3.3898697448669695,14.191225982103054,2,-1,1.3898697448669695
1821,2015-01-11,2.7282532625353433,9.042272840364886,3.5281706645840942,14.542983314421653,20,1,5.457016685578347
1826,2015-01-16,2.7367288952028974,8.29660666787774,2.944549470387141,13.926201583067748,15,1,1.0737984169322523
1828,2015-01-18,2.740119148269919,9.239855333156282,3.279883090020671,14.593029525007726,15,1,0.40697047499227423
1842,2015-02-01,2.763850919739069,9.519565263766262,3.8266527246300504,15.101678049506832,19,1,3.898321950493168
1876,2015-03-07,2.8214852300934603,10.3308700788018,4.560603989101341,15.441589818890359,17,1,1.5584101811096414
