ds,yhat,yhat_lower,yhat_upper
2010-01-16,-0.8031739837760344,-23.14574066513121,20.545011616626816
2010-01-17,-0.7678435219066957,-21.86449957431379,18.823951411600888
2010-01-18,-0.31560371904808343,-22.308130299829525,20.954280066071046
2010-01-19,-0.2872060648930387,-21.395942776847843,19.959933987342964
2010-01-20,-0.3043371900923367,-21.700854871917304,19.484220023264434
2010-01-21,-0.3118017440577192,-21.826520580625832,23.082700110519017
2010-01-22,-0.3935720960268344,-22.695601687659575,20.855305687668064
2010-01-23,-0.6682949465698272,-21.881544568081424,19.331631636888083
2010-01-24,-0.6257396675028832,-20.949478483349335,19.99464506578462
2010-01-25,-0.25711198419934567,-20.820309549629833,21.013408311705284
2010-01-26,-0.22412697801069428,-21.547227559667405,22.194060532276428
2010-01-27,-0.22793458626031526,-20.40629111770555,20.503057330347154
2010-01-28,-0.22587053460833734,-20.944579947611118,21.412132240002585
2010-01-29,-0.28136943189469243,-22.257760306975516,21.42456560301019
2010-01-30,-0.4803727338547097,-22.759796072484068,19.228672765292615
2010-01-31,-0.44285086104181987,-20.312553479457677,20.94968066433347
2010-02-01,-0.1715246449537677,-21.323945287289575,20.338008231146397
2010-02-02,-0.1475787784675443,-20.665680106014158,20.703233282596827
2010-02-03,-0.15043716197859072,-20.148123831239452,20.292394424046996
2010-02-04,-0.149137153999558,-20.886250883820143,19.209880319331855
2010-02-05,-0.18611170094786564,-21.155709882633708,20.295479423343245
2010-02-06,-0.31446272929378627,-20.81064074158556,21.90654457619419
2010-02-07,-0.2844916311104396,-22.072085187655503,19.65174979951789
2010-02-08,-0.11074759503812602,-19.766298325238974,22.299537831083498
2010-02-09,-0.09429898746772403,-22.308825636641895,20.396885059741155
2010-02-10,-0.09328614721877987,-20.772446481128735,21.757156807845906
2010-02-11,-0.08886495443459387,-20.312679599754773,21.50590482030242
2010-02-12,-0.10282641805422436,-20.780657417150348,20.828354047680715
2010-02-13,-0.1557260339193531,-19.493777724042523,19.688687852482833
2010-02-14,-0.1284312221815081,-19.637639414118333,20.92454950305487
2010-02-15,-0.10415965683912239,-21.817674060241213,19.296201986488416
2010-02-16,-0.03411574194764912,-20.107923581508626,21.134268531382126
2010-02-17,-0.025271888079185702,-21.4090725866962,22.77400129393969
2010-02-18,-0.014457726068076339,-22.03869769543435,22.778813553085115
2010-02-19,-0.003027930893745931,-21.68295234783938,21.879849311678086
2010-02-20,0.02081489281160791,-20.774044266612645,20.601876981760814
2010-02-21,0.04548593088718386,-20.343645849414017,20.178429005159803
2010-02-22,0.0323115865018486,-20.230522140123703,21.762774942585274
2010-02-23,0.04012900580429002,-20.35466949838532,20.137887841727117
2010-02-24,0.05316416447772228,-20.820146655007292,22.66433304554602
2010-02-25,0.0659399477088498,-21.870263302474875,20.30941725955336
2010-02-26,0.09797883364764946,-21.6578835884319,20.897113442968074
2010-02-27,0.19396480129401847,-21.34886530139781,20.867444147786536
2010-02-28,0.21216749121799794,-20.54150085687232,21.860911760918842
2010-03-01,0.1023558016264707,-20.817220035234634,22.329090940779164
2010-03-02,0.10377604059363209,-20.78704258243144,20.971805843461624
2010-03-03,0.12218890313409586,-20.95956230561315,20.433517584168115
2010-03-04,0.14015420435539486,-21.983431523342684,20.98058230136144
2010-03-05,0.1978597899773693,-21.02926591842601,21.49651588347121
2010-03-06,0.37241412427942516,-20.081886932964196,21.420001827257543
2010-03-07,0.39126487100768265,-19.46821474380253,22.4573430636052
2010-03-08,0.1917999230469188,-20.598596258754995,23.79527364787205
2010-03-09,0.19279625578280946,-18.676851402889547,20.613873076650275
2010-03-10,0.22072237808226278,-21.685297930703747,20.025851274650336
2010-03-11,0.24550786628895058,-20.55878686822181,21.95890348474886
2010-03-12,0.327594225991016,-20.573566606879975,20.581162829470998
2010-03-13,0.5764282445256309,-20.182286764321482,21.42960333201484
2010-03-14,0.5889087838264253,-19.271966176568153,23.655505150353378
2010-03-15,0.2906661814167463,-21.954169662785123,21.239544231975792
2010-03-16,0.2809284716337594,-21.21456673718295,21.052898787737245
2010-03-17,0.30799585655735373,-20.52546312025334,20.742656459828417
2010-03-18,0.3303709003614501,-20.832767812388852,21.22936399285217
2010-03-19,0.4298902594032033,-19.910242828445853,21.801327772900688
2010-03-20,0.7492772680148381,-19.59834431013687,20.591426180307863
2010-03-21,0.7554922463652068,-22.388190057253517,21.352932336018355
2010-03-22,0.3625983568460263,-20.643855658293965,21.43268587580107
2010-03-23,0.34999864827140337,-19.64790319287792,21.524421105934945
2010-03-24,0.3870889453216852,-21.304190097785682,20.99110187180986
2010-03-25,0.41980951730145094,-19.68474932104189,22.195344950255862
2010-03-26,0.5499679191882271,-22.450478765774754,21.202326820117165
2010-03-27,0.9519994615131389,-19.65620300389954,23.197888683135652
2010-03-28,0.9613922078086438,-20.43320960007897,22.93104023068678
2010-03-29,0.4793140188083497,-19.13016713553958,22.0008688740527
2010-03-30,0.46437884625861775,-19.17250755495981,21.221250302847196
2010-03-31,0.50660172523076,-22.661048126269563,22.041910988045732
2010-04-01,0.5394460323547069,-20.09935286474693,21.01447440398164
2010-04-02,1.1792336898858748,-18.61194027939215,22.38620065643356
2010-04-03,1.1516609655437193,-20.8329945263471,22.72813861783879
2010-04-04,1.1440049254224887,-20.00778439141931,21.500043349794197
2010-04-05,0.5525480754200458,-20.933017876008883,21.22327565967024
2010-04-06,0.5170959583073037,-20.007305367577086,22.009410001312688
2010-04-07,0.5501571541147159,-18.77337827196316,21.32596387105993
2010-04-08,0.5742985452638121,-20.273741861131512,20.517811467242506
2010-04-09,0.7337209684411758,-20.489415826572447,20.407717199221356
2010-04-10,1.269226567054106,-20.66514845479588,23.071556786639462
2010-04-11,1.2565242582099652,-20.466545956193908,23.044171733581067
2010-04-12,0.5740765185834824,-19.06274249446707,21.49199262085575
2010-04-13,0.5416181663690947,-21.18776872784142,22.01117638926894
2010-04-14,0.5924373013275864,-19.173616856530995,22.936861903455384
2010-04-15,0.6361918002633091,-20.653228439114073,20.170089950355578
2010-04-16,0.8367081200989998,-19.054196449666247,22.338077391776125
2010-04-17,1.4661764681106264,-18.59693747766797,22.407543473228575
2010-04-18,1.4685367571137427,-19.306218781919448,23.785329154297518
2010-04-19,0.7090788699220547,-20.6776914031908,21.88568478518417
2010-04-20,0.6864726432983764,-21.483814561045477,20.094723124282698
2010-04-21,0.7543277270712347,-20.210346369231893,21.564686371085806
2010-04-22,0.8094837490885728,-19.659136980176257,19.801279626549103
2010-04-23,1.03600122855804,-19.57626383412338,22.23809504773012
2010-04-24,1.7385171255135383,-20.505059036455968,22.99416716902103
