ds,yhat,yhat_lower,yhat_upper
2010-01-16,-0.08009147758454278,-10.331096144933829,10.976219068978654
2010-01-17,-0.06926392432727994,-9.998590208254496,9.764594703407449
2010-01-18,-0.024897997401841506,-10.69316066193166,9.069922321197462
2010-01-19,-0.020687552692149308,-10.462978474052298,9.404921546126596
2010-01-20,-0.015583268991297146,-9.961143615175425,9.680249148337943
2010-01-21,-0.011658848281817803,-10.664467972360834,11.098593993154752
2010-01-22,-0.0066053952642414135,-9.959986652304933,10.457604237560053
2010-01-23,0.001896490730072421,-10.112565295636909,10.10787063024884
2010-01-24,0.014837499398817093,-10.18799653394329,10.810216148445567
2010-01-25,0.013084873872580362,-10.369029839888983,10.168865211901775
2010-01-26,0.019351963149716753,-9.904114948223933,9.23410369657217
2010-01-27,0.02496142879654153,-10.598101087917858,10.43112504572852
2010-01-28,0.03396988408990094,-9.722485884595924,10.366383476366048
2010-01-29,0.04789878101665654,-10.23295683673587,10.33560703967991
2010-01-30,0.0903415224017321,-9.891695438842687,9.792806143045867
2010-01-31,0.10158287579644859,-9.702847155522546,10.137615540037592
2010-02-01,0.04953850010916496,-10.630776479383504,10.23461071806054
2010-02-02,0.05375146122076414,-9.720623729921815,9.89575096958412
2010-02-03,0.056235562509482244,-10.239660544371695,11.037698669951617
2010-02-04,0.06756147425115888,-9.834006576862652,10.15947192157291
2010-02-05,0.08878437045309714,-10.502301156454852,9.552802554849032
2010-02-06,0.16500428682241777,-9.544671111677907,10.041817194909328
2010-02-07,0.17592263178457862,-10.921408383077917,10.83157352042803
2010-02-08,0.07650076095913087,-10.029704929679415,11.172796503444594
2010-02-09,0.08297631814714448,-9.50825983946062,10.421800706707614
2010-02-10,0.08778905182900691,-9.70475325485175,10.567213724506756
2010-02-11,0.1076411724614851,-9.969395602081129,10.303691823157292
2010-02-12,0.14264498036087528,-10.196764547768288,10.80671141810636
2010-02-13,0.2588694400242963,-10.850380250194853,9.238431520600713
2010-02-14,0.2748747313223797,-10.092610226668052,9.663012613983552
2010-02-15,0.2638989390234585,-9.282570769266277,10.853115457628721
2010-02-16,0.14312775384909995,-10.382117071430262,10.005624587880817
2010-02-17,0.15037695494286094,-10.560757261687613,9.704238243227461
2010-02-18,0.17653692388728434,-9.924532738421915,9.408983973401075
2010-02-19,0.22078227766646893,-9.88863772286857,10.17096773932589
2010-02-20,0.37035489614247413,-9.928760966354002,10.858401362073485
2010-02-21,0.3830726058794275,-10.001831923251984,10.939288615158713
