ds,yhat,fact,anomaly,importance
2010-12-25,135.69198270893312,39,-1,26.808803514425122
2010-12-26,199.85794786799656,75,-1,51.725718450487165
2011-01-01,200.4794847776025,80,-1,49.00667059370758
2011-01-02,195.01301904068814,123,-1,1.1286219104104873
2011-04-23,245.0946486666244,155,-1,21.470237465314852
2011-04-24,219.82225042146257,119,-1,26.37985778014243
2011-06-08,163.13613015286577,239,1,2.898890869868609
2011-07-02,294.8871608197269,207,-1,18.827685523355825
2011-08-21,285.22780821318815,208,-1,1.0947032733737103
2011-10-04,160.1024387427525,253,1,15.688797221226622
2011-10-05,169.12467832390413,253,1,14.200108301401485
2011-10-09,258.35438455973474,164,-1,23.61944570211233
2011-10-21,221.4413634375115,314,1,19.080120913366557
2011-11-12,302.7366332844596,379,1,4.054387132475313
2011-12-14,151.2879543523445,230,1,8.635430114248493
2011-12-24,299.11609389175936,158,-1,69.81818956405539
2011-12-25,146.65931874762137,42,-1,33.85349165180868
2012-01-01,232.5415427754168,120,-1,44.260334857144926
2012-01-31,148.55648674704227,228,1,7.869514999405084
2012-04-05,205.52839863709764,280,1,4.262934108341369
2012-04-08,298.6755391429126,178,-1,48.283372997702884
2012-06-27,208.5197308532941,280,1,5.612740243139342
2012-07-01,321.87199724004955,193,-1,60.10971325408883
2012-07-07,359.58002892371746,268,-1,22.04466399452258
2012-10-07,304.23508023652215,226,-1,8.862068952775104
2012-12-30,323.5220871191238,249,-1,8.431720709688761
2013-01-12,354.0776289635074,466,1,40.98143011072375
2013-01-13,314.5821195108447,431,1,45.6343603460968
2013-02-02,382.8911581000053,452,1,3.856287610102129
2013-02-09,390.05766218410673,299,-1,24.321518883117164
2013-02-10,346.343208536532,281,-1,3.2921637639057053
2013-03-31,398.8965890498423,285,-1,46.3554590001184
2013-04-06,452.69503714303136,528,1,2.4880476501335806
2013-04-13,455.4530191836392,381,-1,2.1531844917111584
2013-06-09,420.4634556643072,512,1,19.22468879463338
2013-06-30,435.88063202503446,347,-1,17.531163564963833
2013-08-03,475.8964419941335,396,-1,5.490407029998607
2013-08-15,313.7250900599658,394,1,3.408342267982391
2013-08-16,360.4205842348818,429,1,0.25268013739582784
2013-09-17,250.2023353685352,327,1,9.12350413920376
2013-10-13,378.3735842865351,218,-1,90.42407869375376
2013-12-14,386.1504786708687,268,-1,50.63946542544562
2013-12-21,395.76042321976666,301,-1,26.59947385101316
2013-12-22,351.5424293960633,194,-1,83.15821842961896
2013-12-28,404.5820392884378,303,-1,28.231439388283206
2013-12-30,188.81359925149306,285,1,23.85901417427283
2013-12-31,198.72266669338592,287,1,16.98817752592271
2014-01-02,222.53919372524038,139,-1,16.65505139549103
2014-02-14,286.73332624265487,373,1,18.90545625627692
2014-03-11,235.32782149243033,310,1,2.0478922076441677
2014-03-12,256.7830997727788,190,-1,6.247519585303451
